Sort,SampleSite_ID,SamplePoint_ID,SampleLayer_ID,ApproximateAddress,Sample_Layer,Soil_Series_Type,MapUnit,MapUnitName,MU_Key,SSURGO_AreaSymbol,Surface_Subsurface,UpperDepth_cm,LowerDepth_cm,Surface_Texture,Saturated_HC_DR_cmhr,Saturated_HC_DR_SE_cmhr,n_HC_DR_Measurments,Sum_HC_DR_Measurments,Saturated_HC_DR_IgnoresInfiniteValues_YN,Saturated_HC_DR_Infinite,Saturated_HC_TR_cmhr,Saturated_HC_TR_SE_cmhr,n_Tall_DR_Measurements ,Saturated_HC_SR_cmhr,Saturated_HC_SR_Infinite,Saturated_HC_SR_SE_cmhr,n_Short_DR_Measurements,Saturated_HC_SR_IgnoresInfiniteValues_YN,Unsaturated_K2cm_cmhr,Unsaturated_K2cm_SE_cmhr,Unsaturated_K2cm_STDEV_cmhr,Surface_Notes,Tenth_bar_H2O,Third_bar_H2O,Fifteen_bar_H2O,,,
847,DS9,DP17,DS9DP17L1,14111 Chapel,1.00,Urban Observed,,,,,Surface,0,61,sl,,,,,,,,,,,,,,,1.70,0.5,,,,,,,,
857,DS9,DP18,DS9DP18L1,14111 Chapel,1.00,Urban Observed,,,,,Surface,0,51,fsl,,,,,,,,,,,,,,,3.45,1.1,,,,,,,,
869,DS10,DP19,DS10DP19L1,14240 Chapel,1.00,Urban Observed,,,,,Surface,0,46,cl,,,,,,,,,,,,,,,0.24,0.1,,,,,,,,
875,DS10,DP20,DS10DP20L1,14240 Chapel,1.00,Urban Observed,,,,,Surface,0,25,l,,,,,,,,,,,,,,,0.18,0.0,,,,,,,,
886,DS11,DP21,DS11DP21L1,14136 Burgess,1.00,Urban Observed,,,,,Surface,0,46,sl,,,,,,,,,,,,,,,0.55,0.2,,,,,,,,
898,DS11,DP22,DS11DP22L1,14136 Burgess,1.00,Urban Observed,,,,,Surface,0,30,lfs,,,,,,,,,,,,,,,1.18,0.1,,,,,,,,
909,DS12,DP23,DS12DP23L1,14413 Plainview,1.00,Urban Observed,,,,,Surface,0,30,ls,,,,,,,,,,,,,,,1.25,0.7,,,,,,,,
913,DS12,DP24,DS12DP24L1,14413 Plainview,1.00,Urban Observed,,,,,Surface,0,76,fsl,,,,,,,,,,,,,,,0.30,0.0,,,,,,,,
922,DS13,DP25,DS13DP25L1,19305 Lyndon,1.00,Urban Observed,,,,,Surface,0,71,scl,,,,,,,,,,,,,,,0.07,0.0,,,,,,,,
928,DS13,DP26,DS13DP26L1,19305 Lyndon,1.00,Urban Observed,,,,,Surface,0,76,l,,,,,,,,,,,,,,,0.11,0.0,,,,,,,,
935,DS14,DP27,DS14DP27L1,13604 Grandville,1.00,Urban Observed,,,,,Surface,0,30,cl,,,,,,,,,,,,,,,0.17,0.1,,,,,,,,
941,DS14,DP28,DS14DP28L1,13604 Grandville,1.00,Urban Observed,,,,,Surface,0,30,l,,,,,,,,,,,,,,,0.10,0.0,,,,,,,,
950,DS15,DP29,DS15DP29L1,13534 Artesia,1.00,Urban Observed,,,,,Surface,0,76,sl,,,,,,,,,,,,,,,0.09,0.1,,,,,,,,
956,DS15,DP30,DS15DP30L1,13534 Artesia,1.00,Urban Observed,,,,,Surface,0,25,scl,,,,,,,,,,,,,,,0.00,0.0,,,,,,,,
964,DS16,DP31,DS16DP31L1,14899 Westwood St,1.00,Urban Observed,,,,,Surface,0,46,fsl,,,,,,,,,,,,,,,0.29,0.1,,,,,,,,
970,DS17,DP32,DS17DP32L1,16401 W Chicago St,1.00,Urban Observed,,,,,Surface,0,36,l,,,,,,,,,,,,,,,0.18,0.0,,,,,,,,
977,DS18,DP33,DS18DP33L1,8266 Wisner,1.00,Urban Observed,,,,,Surface,0,20,scl,,,,,,,,,,,,,,,0.40,0.1,,,,,,,,
984,DS18,DP34,DS18DP34L1,8266 Wisner,1.00,Urban Observed,,,,,Surface,0,76,l,,,,,,,,,,,,,,,0.38,0.1,,,,,,,,
992,DS19,DP35,DS19DP35L1,8259 Elgin,1.00,Urban Observed,,,,,Surface,0,102,l,,,,,,,,,,,,,,,0.52,0.2,,,,,,,,
997,DS19,DP36,DS19DP36L1,8259 Elgin,1.00,Urban Observed,,,,,Surface,0,15,fsl,,,,,,,,,,,,,,,0.65,0.4,,,,,,,,
1006,DS20,DP37,DS20DP37L1,8383 Kenney,1.00,Urban Observed,,,,,Surface,0,30,scl,,,,,,,,,,,,,,,1.35,0.4,,,,,,,,
1015,DS20,DP38,DS20DP38L1,8383 Kenney,1.00,Urban Observed,,,,,Surface,0,30,l,,,,,,,,,,,,,,,1.10,1.0,,,,,,,,
1025,DS21,DP39,DS21DP39L1,8390 Lyford,1.00,Urban Observed,,,,,Surface,0,15,l,,,,,,,,,,,,,,,2.26,0.3,,,,,,,,
1031,DS21,DP40,DS21DP40L1,8390 Lyford,1.00,Urban Observed,,,,,Surface,0,25,lfs,,,,,,,,,,,,,,,0.47,0.3,,,,,,,,
1037,DS22,DP41,DS22DP41L1,2103 Montclair,1.00,Urban Observed,,,,,Surface,0,15,l,,,,,,,,,,,,,,,0.59,0.1,,,,,,,,
1043,DS22,DP42,DS22DP42L1,2103 Montclair,1.00,Urban Observed,,,,,Surface,0,20,scl,,,,,,,,,,,,,,,0.56,0.1,,,,,,,,
1051,DS23,DP43,DS23DP43L1,2159 Harding Street,1.00,Urban Observed,,,,,Surface,0,51,cl,,,,,,,,,,,,,,,0.44,0.2,,,,,,,,
1057,DS23,DP44,DS23DP44L1,2159 Harding Street,1.00,Urban Observed,,,,,Surface,0,76,l,,,,,,,,,,,,,,,0.24,0.1,,,,,,,,
1063,DS24,DP45,DS24DP45L1,1529 St. Clair,1.00,Urban Observed,,,,,Surface,0,30,l,,,,,,,,,,,,,,,0.01,0.0,,,,,,,,
1068,DS24,DP46,DS24DP46L1,1529 St. Clair,1.00,Urban Observed,,,,,Surface,0,20,l,,,,,,,,,,,,,,,0.13,0.1,,,,,,,,
1078,DS25,DP47,DS25DP47L1,1293 McClellan,1.00,Urban Observed,,,,,Surface,0,15,l,,,,,,,,,,,,,,,0.10,0.1,,,,,,,,
1082,DS25,DP48,DS25DP48L1,1293 McClellan,1.00,Urban Observed,,,,,Surface,0,117,scl,,,,,,,,,,,,,,,0.07,0.0,,,,,,,,
1087,DS26,DP49,DS26DP49L1,8333 Leander,1.00,Urban Observed,,,,,Surface,0,76,ls,,,,,,,,,,,,,,,3.95,0.6,,,,,,,,
1094,DS26,DP50,DS26DP50L1,8333 Leander,1.00,Urban Observed,,,,,Surface,0,71,sl,,,,,,,,,,,,,,,1.30,0.4,,,,,,,,
1104,DS27,DP51,DS27DP51L1,1259 McClellan,1.00,Urban Observed,,,,,Surface,0,25,scl,,,,,,,,,,,,,,,0.44,0.1,,,,,,,,
1110,DS27,DP52,DS27DP52L1,1259 McClellan,1.00,Urban Observed,,,,,Surface,0,41,sl,,,,,,,,,,,,,,,0.95,0.5,,,,,,,,
1118,DS28,DP53,DS28DP53L1,Biraga Playground,1.00,Urban Observed,,,,,Surface,0,20,scl,,,,,,,,,,,,,,,0.39,0.1,,,,,,,,
1129,DS29,DP54,DS29DP54L1,Messmer Playground,1.00,Urban Observed,,,,,Surface,0,25,cl,,,,,,,,,,,,,,,0.41,0.1,,,,,,,,
1138,DS30,DP55,DS30DP55L1,Maheras-Gentry Park,1.00,Urban Observed,,,,,Surface,0,25,scl,,,,,,,,,,,,,,,0.69,0.1,,,,,,,,
1147,DS31,DP56,DS31DP56L1,Robinwood Park,1.00,Urban Observed,,,,,Surface,0,30,scl,,,,,,,,,,,,,,,0.44,0.1,,,,,,,,
1156,DS31,DP57,DS31DP57L1,Robinwood Park,1.00,Urban Observed,,,,,Surface,0,30,l,,,,,,,,,,,,,,,,,,,,,,,,
1162,DS32,DP58,DS32DP58TopSoil,21130 Fenkell,1.00,Urban Observed,,,,,Surface,0,,ND,,,,,,,,,,,,,,,,,,,,,,,,
1163,DS33,DP59,DS33DP59TopSoil,13617 Westwood ,1.00,Urban Observed,,,,,Surface,0,,ND,,,,,,,,,,,,,,,,,,,,,,,,
1164,DS34,DP60,DS34DP60TopSoil,10125 Charlevoix ,1.00,Urban Observed,,,,,Surface,0,,ND,,,,,,,,,,,,,,,,,,,,,,,,
1165,NS1,NP1,NS1NP1L1,209 16th St,1.00,Urban Observed,,,,,Surface,0,36,lfs,349.8,209.75,4.00,1399.01,NO,,140.0,52.0,2,559.5,,91.1,2,NO,16.37,7.0,,,,,,,,
1173,NS2,NP2,NS2NP2L1,414 40th St,1.00,Urban Observed,,,,,Surface,0,18,s,334.0,88.01,4.00,1336.05,NO,,246.0,34.1,2,422.0,,83.0,2,NO,16.67,8.0,,,,,,,,
1179,NS3,NP3,NS3NP3L1,1922 Allen St,1.00,Urban Observed,,,,,Surface,0,10,lfs,15.5,2.27,4.00,61.89,NO,,17.7,6.4,2,13.2,,4.7,2,NO,18.80,7.7,,,,,,,,
1186,NS4,NP4,NS4NP4L1,3017 Benefit St,1.00,Urban Observed,,,,,Surface,0,13,lfs,36.1,29.90,4.00,144.40,NO,,66.0,4.1,2,6.2,,0.6,2,NO,9.14,1.9,,,,,,,,
1194,NS5,NP5,NS5NP5L1,Brechtel 2,1.00,Urban Observed,,,,,Surface,0,15,c,181.8,24.42,2.00,363.67,YES,,,,0,181.8,,24.4,2,NO,0.17,0.1,,,,,,,,
1201,NS6,NP6,NS6NP6L1,4912 Burgundy St,1.00,Urban Observed,,,,,Surface,0,25,fs,95.9,56.10,4.00,383.60,NO,,152.0,20.0,2,39.8,,2.6,2,NO,10.52,3.5,,,,,,,,
1208,NS7,NP7,NS7NP7L1,1901 Caffin St,1.00,Urban Observed,,,,,Surface,0,30,c,254.0,16.52,3.00,762.08,YES,,232.0,10.6,1,265.0,,102.4,2,NO,3.39,1.1,,,,,,,,
1214,NS8,NP8,NS8NP8L1,117 Chalfant Pl,1.00,Urban Observed,,,,,Surface,0,25,fs,213.0,101.00,4.00,852.00,NO,,112.0,9.1,2,314.0,,49.8,2,NO,9.88,3.8,,,,,,,,
1219,NS9,NP9,NS9NP9L1,4947 Charlene Dr,1.00,Urban Observed,,,,,Surface,0,36,l,171.4,154.60,4.00,685.60,NO,,326.0,45.5,2,16.8,,6.1,2,NO,1.46,0.6,,,,,,,,
1227,NS10,NP10,NS10NP10L1,2413 Gallier St,1.00,Urban Observed,,,,,Surface,0,20,fs,59.0,42.00,4.00,236.00,NO,,101.0,26.8,2,17.0,,4.0,2,NO,29.13,8.2,,,,,,,,
1235,NS11,NP11,NS11NP11L1,1231 N Johnson St,1.00,Urban Observed,,,,,Surface,0,0,lfs,74.9,51.10,4.00,299.60,NO,,126.0,20.0,2,23.8,,1.9,2,NO,49.41,13.0,,,,,,,,
1238,NS12,NP12,NS12NP12L1,Lafitte Greenway 1,1.00,Urban Observed,,,,,Surface,0,20,lfs,102.1,18.73,4.00,408.53,NO,,83.4,30.1,2,120.9,,61.8,2,NO,4.09,1.0,,,,,,,,
1246,NS13,NP13,NS13NP13L1,Lafitte Greenway 2,1.00,Urban Observed,,,,,Surface,0,10,sl,55.9,6.10,4.00,223.60,NO,,49.8,16.5,2,62.0,,7.0,2,NO,1.44,0.6,,,,,,,,
1255,NS14,NP14,NS14NP14L1,3324 Leonidas St,1.00,Urban Observed,,,,,Surface,0,13,fsl,23.3,10.30,4.00,93.20,NO,,33.6,6.5,2,13.0,,0.4,2,NO,2.88,0.6,,,,,,,,
1261,NS15,NP15,NS15NP15L1,7541 Michigan St,1.00,Urban Observed,,,,,Surface,0,30,lfs,37.2,21.00,4.00,148.80,NO,,58.2,10.8,2,16.2,,1.6,2,NO,7.00,1.3,,,,,,,,
1270,NS16,NP16,NS16NP16L1,5610 Painters St,1.00,Urban Observed,,,,,Surface,0,20,fsl,22.8,6.80,4.00,91.20,NO,,29.6,2.5,2,16.0,,5.7,2,NO,0.81,0.6,,,,,,,,
1277,NS17,NP17,NS17NP17L1,3101 Pine St,1.00,Urban Observed,,,,,Surface,0,15,c,337.1,120.81,3.00,1011.23,YES,,176.0,86.1,1,417.6,,168.2,2,NO,0.86,0.4,,,,,,,,
1284,NS18,NP18,NS18NP18L1,411 Toledano St,1.00,Urban Observed,,,,,Surface,0,46,l,41.4,4.57,4.00,165.73,NO,,36.9,4.2,2,46.0,,0.9,2,NO,0.53,0.1,,,,,,,,
1290,NS19,NP19,NS19NP19L1,7184 Virgillian,1.00,Urban Observed,,,,,Surface,0,28,sicl,118.6,13.40,4.00,474.40,NO,,132.0,16.4,2,105.2,,15.2,2,NO,0.10,0.1,,,,,,,,
1297,NS20,NP20,NS20NP20L1,4978 Wright,1.00,Urban Observed,,,,,Surface,0,20,fs,39.5,24.05,4.00,157.80,NO,,63.5,9.1,2,15.4,,3.7,2,NO,7.62,4.4,,,,,,,,
1517,PS1,PP1,PS1PP1L1,"4607 East Piedmont Road, Phoenix, AZ 85044",1.00,Urban Observed,,,,,Surface,0,10,cosl,69.5,31.90,,,NO,,101.4,98.6,2,37.6,,30.4,2,NO,1.50,0.5,,,,,,,,
1523,PS2,PP2,PS2PP2L1,"2015 East Bishop Drive, Tempe, AZ 85282",1.00,Urban Observed,,,,,Surface,0,38,cl,31.8,18.68,,,NO,,46.8,5.0,3,9.4,,1.8,2,NO,0.90,0.2,,,,,,,,
1530,PS3,PP3,PS3PP3L1,"10221 North 77th Street, Scottsdale, AZ 85258",1.00,Urban Observed,,,,,Surface,0,20,l,36.1,9.20,,,NO,,39.2,15.4,5,20.8,,,1,NO,0.64,0.1,,,,,,,,
1538,PS4,PP4,PS4PP4L1,"10595 East Cactus Road, Scottsdale, AZ 85259",1.00,Urban Observed,,,,,Surface,0,15,cosl,8.1,4.30,,,NO,,11.0,5.0,2,2.4,,,1,NO,1.70,0.3,,,,,,,,
1542,PS5,PP5,PS5PP5L1,"7202 East Cactus Road, Scottsdale, AZ 85260",1.00,Urban Observed,,,,,Surface,0,15,cl,1.8,1.80,,,NO,,,1.8,2,2.0,,,,,0.52,0.1,,,,,,,,
1551,PS5,PP6,PS5PP6L1,"7202 East Cactus Road, Scottsdale, AZ 85260",1.00,Urban Observed,,,,,Surface,0,18,cl,9.4,9.40,,,NO,,,9.4,4,2.0,,,,,0.23,0.2,,,,,,,,
1556,PS5,PP7,PS5PP7L1,"7202 East Cactus Road, Scottsdale, AZ 85260",1.00,Urban Observed,,,,,Surface,0,20,cl,12.4,12.40,,,NO,,,12.4,10,2.0,,,,,0.33,0.1,,,,,,,,
1563,PS6,PP8,PS6PP8L1,"1105 North 68th Street, Scottsdale, AZ 85254",1.00,Urban Observed,,,,,Surface,0,10,l,23.4,23.40,,,NO,,,23.4,3,2.0,,,,,0.56,0.1,,,,,,,,
1569,PS6,PP9,PS6PP9L1,"1105 North 68th Street, Scottsdale, AZ 85254",1.00,Urban Observed,,,,,Surface,0,15,cl,,,,,NO,,,18.4,10,2.0,,,,,0.40,0.1,,,,,,,,
1576,PS7,PP10,PS7PP10L1,"8400 East Thunderbird Road, Scottsdale, AZ 85260",1.00,Urban Observed,,,,,Surface,0,15,l,11.4,11.40,,,NO,,,11.4,2,2.0,,,,,1.46,0.7,,,,,,,,
1581,PS7,PP11,PS7PP11L1,"8400 East Thunderbird Road, Scottsdale, AZ 85260",1.00,Urban Observed,,,,,Surface,0,15,l,12.6,12.60,,,NO,,,12.6,6,2.0,,,,,0.69,0.2,,,,,,,,
1588,PS7Biofilm,PP21,PS7Biofilm,"8400 East Thunderbird Road, Scottsdale, AZ 85260",1.00,Urban Observed,,,,,,0,3,ND,20.2,20.20,,,NO,,20.2,4.9,3,,,,0,,0.66,0.1,,,,,,,,
1589,PS9,PP12,PS9PP12L1,"Luter Lane, Apache Junction, AZ 85120",1.00,Urban Observed,,,,,Surface,0,56,cosl,16.0,1.95,,,NO,,17.9,7.8,2,14.0,,2.4,2,NO,0.57,0.2,,,,,,,,
1596,PS10,PP13,PS10PP13L1,"White Tank Mountain Road, Waddell, AZ 85355",1.00,Urban Observed,,,,,Surface,0,61,cosl,20.3,6.95,,,NO,,27.2,7.2,2,13.3,,2.9,2,NO,0.55,0.1,,,,,,,,
1599,CIS1,CIP1,CIS1CIP1L1,2063 Queen City Ave,1.00,Urban Observed,,,,,Surface,0,10,l,29.2,0.45,,,,,29.6,,,28.7,,,,,0.77,0.3,,,,,,,,
1607,CIS1,CIP2,CIS1CIP2L1,2063 Queen City Ave,1.00,Urban Observed,,,,,Surface,0,,l,316.0,103.00,,,,,213.0,,,419.0,,,,,0.72,0.0,,,,,,,,
1609,CIS2,CIP3,CIS2CIP3L1,1925 Queen City Ave,1.00,Urban Observed,,,,,Surface,0,10,sil,0.4,0.03,,,,,0.4,,,0.5,,,,,0.54,0.3,,,,,,,,
1617,CIS2,CIP4,CIS2CIP4L1,1925 Queen City Ave,1.00,Urban Observed,,,,,Surface,0,20,sicl,5.0,1.00,,,,,4.0,,,6.0,,,,,0.10,0.0,,,,,,,,
1623,CIS3,CIP5,CIS3CIP5L1,1911 Queen City Ave,1.00,Urban Observed,,,,,Surface,0,25,l,564.8,367.99,,,,,196.8,,,932.8,,,,,1.10,0.6,,,,,,,,
1628,CIS3,CIP6,CIS3CIP6L1,1911 Queen City Ave,1.00,Urban Observed,,,,,Surface,0,15,sl,32.5,4.50,,,,,37.0,,,28.0,,,,,1.49,0.1,,,,,,,,
1635,CIS4,CIP7,CIS4CIP7L1,1789 Queen City Ave,1.00,Urban Observed,,,,,Surface,0,10,sil,1.0,0.00,,,,,1.0,,,1.0,,,,,1.03,0.6,,,,,,,,
1644,CIS4,CIP8,CIS4CIP8L1,1789 Queen City Ave,1.00,Urban Observed,,,,,Surface,0,,sil,3.3,1.71,,,,,1.6,,,5.0,,,,,0.27,0.1,,,,,,,,
1646,CIS5,CIP9,CIS5CIP9L1,1773 Queen City Ave,1.00,Urban Observed,,,,,Surface,0,25,l,220.2,115.73,,,,,104.5,,,336.0,,,,,0.33,0.1,,,,,,,,
1651,CIS5,CIP10,CIS5CIP10L1,1773 Queen City Ave,1.00,Urban Observed,,,,,Surface,0,20,l,58.0,17.00,,,,,41.0,,,75.0,,,,,0.97,0.1,,,,,,,,
1663,CIS6,CIP11,CIS6CIP11L1,1464 Harrison Ave,1.00,Urban Observed,,,,,Surface,0,13,l,9.0,1.00,,,,,8.0,,,10.0,,,,,0.77,0.3,,,,,,,,
1670,CIS6,CIP12,CIS6CIP12L1,1464 Harrison Ave,1.00,Urban Observed,,,,,Surface,0,,l,494.2,158.24,,,,,336.0,,,652.5,,,,,1.01,0.6,,,,,,,,
1673,CIS7,CIP13,CIS7CIP13L1,1563 Harrison Ave,1.00,Urban Observed,,,,,Surface,0,10,l,43.0,13.00,,,,,30.0,,,56.0,,,,,0.50,0.3,,,,,,,,
1681,CIS7,CIP14,CIS7CIP14L1,1563 Harrison Ave,1.00,Urban Observed,,,,,Surface,0,,sl,,,,,,,,,,,,,,,,,,,,,,,,
1684,CIS8,CIP15,CIS8CIP15L1,2465 Beekman St,1.00,Urban Observed,,,,,Surface,0,10,l,708.4,344.37,,,,,364.0,,,1052.7,,,,,1.82,1.0,,,,,,,,
1689,CIS8,CIP16,CIS8CIP16L1,2465 Beekman St,1.00,Urban Observed,,,,,Surface,0,10,l,712.0,274.00,,,,,438.0,,,986.0,,,,,0.93,0.1,,,,,,,,
1697,CIS9,CIP17,CIS9CIP17L1,2097 Queen City Ave,1.00,Urban Observed,,,,,Surface,0,25,l,10.7,1.48,,,,,9.2,,,12.2,,,,,0.58,0.3,,,,,,,,
1708,CIS9,CIP18,CIS9CIP18L1,2097 Queen City Ave,1.00,Urban Observed,,,,,Surface,0,,cl,2.0,0.00,,,,,2.0,,,2.0,,,,,0.66,0.1,,,,,,,,
1711,CIS10,CIP19,CIS10CIP19L1,1655 Ross Ave,1.00,Urban Observed,,,,,Surface,0,20,sl,14.3,3.48,,,,,10.8,,,17.8,,,,,0.12,0.0,,,,,,,,
1714,CIS10,CIP20,CIS10CIP20L1,1655 Ross Ave,1.00,Urban Observed,,,,,Surface,0,,ND,,,,,,,,,,,,,,,,,,,,,,,,
1715,CIS10,CIP21,CIS10CIP21L1,1655 Ross Ave,1.00,Urban Observed,,,,,Surface,0,15,sl,,,,,,,2.0,,,2.0,,,,,1.30,0.7,,,,,,,,
1719,CIS11,CIP22,CIS11CIP22L1,2457 Beekman St,1.00,Urban Observed,,,,,Surface,0,,sic,17.2,13.97,,,,,3.2,,,31.1,,,,,0.46,0.1,,,,,,,,
1721,CIS11,CIP23,CIS11CIP23L1,2457 Beekman St,1.00,Urban Observed,,,,,Surface,0,,sic,14.0,11.00,,,,,25.0,,,3.0,,,,,0.14,0.0,,,,,,,,
1723,CIS12,CIP24,CIS12CIP24L1,1515 Fairmount Ave,1.00,Urban Observed,,,,,Surface,0,10,sil,3.9,0.89,,,,,4.8,,,3.0,,,,,0.20,0.2,,,,,,,,
1728,CIS12,CIP25,CIS12CIP25L1,1515 Fairmount Ave,1.00,Urban Observed,,,,,Surface,0,5,l,,,,,,,0.0,,,0.0,,,,,0.27,0.2,,,,,,,,
1733,CIS13,CIP26,CIS13CIP26L1,2195 Harrison Ave,1.00,Urban Observed,,,,,Surface,0,10,sil,10.6,3.80,,,,,14.4,,,6.8,,,,,0.10,0.1,,,,,,,,
1739,CIS13,CIP27,CIS13CIP27L1,2195 Harrison Ave,1.00,Urban Observed,,,,,Surface,0,13,sil,19.0,4.00,,,,,15.0,,,23.0,,,,,1.03,0.8,,,,,,,,
1752,CIS14,CIP28,CIS14CIP28L1,2488 Seegar Ave,1.00,Urban Observed,,,,,Surface,0,5,sil,70.5,12.51,,,,,58.0,,,83.0,,,,,0.89,0.4,,,,,,,,
1756,CIS14,CIP29,CIS14CIP29L1,2488 Seegar Ave,1.00,Urban Observed,,,,,Surface,0,3,sil,14.0,2.00,,,,,12.0,,,16.0,,,,,0.19,0.1,,,,,,,,
1765,CIS15,CIP30,CIS15CIP30L1,1561 Knox St,1.00,Urban Observed,,,,,Surface,0,30,sil,489.6,303.62,,,,,186.0,,,793.2,,,,,0.12,0.1,,,,,,,,
1770,CIS15,CIP31,CIS15CIP31L1,1561 Knox St,1.00,Urban Observed,,,,,Surface,0,,sic,1200.0,0.00,,,,,2400.0,,,,Yes,,,Yes,0.00,0.1,,,,,,,,
1772,CIS16,CIP32,CIS16CIP32L1,2611 Beekman St,1.00,Urban Observed,,,,,Surface,0,5,sil,49.6,8.79,,,,,40.8,,,58.4,,,,,1.47,0.1,,,,,,,,
1780,CIS16,CIP33,CIS16CIP33L1,2611 Beekman St,1.00,Urban Observed,,,,,Surface,0,10,sil,1.5,0.50,,,,,1.0,,,2.0,,,,,0.29,0.2,,,,,,,,
1788,CIS17,CIP34,CIS17CIP34L1,2176 Selim Ave,1.00,Urban Observed,,,,,Surface,0,10,sil,106.2,18.96,,,,,87.2,,,125.1,,,,,0.12,0.0,,,,,,,,
1794,CIS17,CIP35,CIS17CIP35L1,2176 Selim Ave,1.00,Urban Observed,,,,,Surface,0,15,l,1.5,0.50,,,,,2.0,,,1.0,,,,,0.89,0.6,,,,,,,,
1802,CIS18,CIP36,CIS18CIP36L1,1653 Tremont St,1.00,Urban Observed,,,,,Surface,0,30,sil,121.9,75.08,,,,,46.8,,,197.0,,,,,0.39,0.3,,,,,,,,
1807,CIS18,CIP37,CIS18CIP37L1,1653 Tremont St,1.00,Urban Observed,,,,,Surface,0,,sil,29.0,7.00,,,,,36.0,,,22.0,,,,,0.48,0.1,,,,,,,,
1809,CIS19,CIP38,CIS19CIP38L1,3115 W. Liberty St,1.00,Urban Observed,,,,,Surface,0,20,sil,31.3,3.26,,,,,28.0,,,34.5,,,,,0.60,0.1,,,,,,,,
1818,CIS19,CIP39,CIS19CIP39L1,3115 W. Liberty St,1.00,Urban Observed,,,,,Surface,0,,sic,44.0,7.00,,,,,37.0,,,51.0,,,,,0.89,0.1,,,,,,,,
1820,CIS20,CIP40,CIS20CIP40L1,1122 Mansion Ave,1.00,Urban Observed,,,,,Surface,0,20,sil,113.5,33.93,,,,,79.6,,,147.5,,,,,0.17,0.1,,,,,,,,
1826,CIS20,CIP41,CIS20CIP41L1,1122 Mansion Ave,1.00,Urban Observed,,,,,Surface,0,10,sil,6.0,0.00,,,,,6.0,,,6.0,,,,,0.27,0.1,,,,,,,,
1831,CIS21,CIP42,CIS21CIP42L1,2208 Quebec Rd,1.00,Urban Observed,,,,,Surface,0,15,sil,1.5,0.29,,,,,1.2,,,1.8,,,,,0.02,0.1,,,,,,,,
1837,CIS21,CIP43,CIS21CIP43L1,2208 Quebec Rd,1.00,Urban Observed,,,,,Surface,0,20,sicl,,,,,,,0.0,,,2.0,,,,,0.68,0.1,,,,,,,,
1843,CIS22,CIP44,CIS22CIP44L1,1798 Esmonde St,1.00,Urban Observed,,,,,Surface,0,5,sil,156.7,92.32,,,,,64.4,,,249.1,,,,,0.52,0.5,,,,,,,,
1849,CIS22,CIP45,CIS22CIP45L1,1798 Esmonde St,1.00,Urban Observed,,,,,Surface,0,5,sil,60.0,24.00,,,,,36.0,,,84.0,,,,,0.08,0.1,,,,,,,,
1856,CIS23,CIP46,CIS23CIP46L1,1520 Beech Ave,1.00,Urban Observed,,,,,Surface,0,35,sic,0.7,0.27,,,,,0.4,,,0.9,,,,,0.04,0.0,,,,,,,,
1861,CIS23,CIP47,CIS23CIP47L1,1520 Beech Ave,1.00,Urban Observed,,,,,Surface,0,,sic,,,,,,,0.0,,,0.0,,,,,0.14,0.4,,,,,,,,
1863,CIS24,CIP48,CIS24CIP48L1,3628 Laclede Ave,1.00,Urban Observed,,,,,Surface,0,15,sil,348.7,133.73,,,,,215.0,,,482.5,,,,,0.64,0.5,,,,,,,,
1869,CIS24,CIP49,CIS24CIP49L1,3628 Laclede Ave,1.00,Urban Observed,,,,,Surface,0,20,sil,,,,,,,0.0,,,0.0,,,,,1.32,0.4,,,,,,,,
1876,CIS25,CIP50,CIS25CIP50L1,3600 Mayfield Ave,1.00,Urban Observed,,,,,Surface,0,15,sil,210.1,83.29,,,,,293.3,,,126.8,,,,,0.00,0.0,,,,,,,,
1881,CIS25,CIP51,CIS25CIP51L1,3600 Mayfield Ave,1.00,Urban Observed,,,,,Surface,0,,sil,1574.5,530.50,,,,,1044.0,,,2105.0,,,,,0.03,0.0,,,,,,,,
1883,CIS26,CIP52,CIS26CIP52L1,3600 Mayfield Ave,1.00,Urban Observed,,,,,Surface,0,20,sil,42.2,31.39,,,,,10.8,,,73.6,,,,,0.00,0.0,,,,,,,,
1887,CIS26,CIP53,CIS26CIP53L1,3600 Mayfield Ave,1.00,Urban Observed,,,,,Surface,0,,sil,31.0,20.00,,,,,11.0,,,51.0,,,,,0.48,0.0,,,,,,,,
1889,CIS27,CIP54,CIS27CIP54L1,3600 Mayfield Ave,1.00,Urban Observed,,,,,Surface,0,,sil,58.2,55.40,,,,,2.8,,,113.6,,,,,0.10,0.0,,,,,,,,
1891,CIS27,CIP55,CIS27CIP55L1,3600 Mayfield Ave,1.00,Urban Observed,,,,,Surface,0,,sil,136.0,75.00,,,,,61.0,,,211.0,,,,,0.29,0.0,,,,,,,,
1893,CIS28,CIP56,CIS28CIP56L1,3201 Glenway Ave,1.00,Urban Observed,,,,,Surface,0,15,sil,97.8,36.59,,,,,61.2,,,134.4,,,,,0.50,0.0,,,,,,,,
1898,CIS28,CIP57,CIS28CIP57L1,3201 Glenway Ave,1.00,Urban Observed,,,,,Surface,0,18,sil,,,,,,,,,,,,,,,,,,,,,,,,
1905,CIS28,CIP58,CIS28CIP58L1,3201 Glenway Ave,1.00,Urban Observed,,,,,Surface,0,,sil,21.5,4.50,,,,,17.0,,,26.0,,,,,0.33,0.1,,,,,,,,
